display name,layer_type,layer_name,ee_layer_name,db_dataset_name,geoserver_workspace_name,geoserver_layer_name,geoserver_url,style_file_url
Land Use Change : Tree cover gain,vector,change_tree_cover_gain_vector,change_vector_Afforestation,Change Detection Vector,change_detection,change_vector_[district]_[block]_Afforestation,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,No style file 
,vector,change_cropping_intensity_vector,change_vector_CropIntensity,Change Detection Vector,change_detection,change_vector_[district]_[block]_CropIntensity,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,No style file 
,vector,change_tree_cover_loss_vector,change_vector_Deforestation,Change Detection Vector,change_detection,change_vector_[district]_[block]_Deforestation,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,No style file 
,vector,change_cropping_reduction_vector,change_vector_Degradation,Change Detection Vector,change_detection,change_vector_[district]_[block]_Degradation,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,No style file 
,vector,change_urbanization_vector,change_vector_Urbanization,Change Detection Vector,change_detection,change_vector_[district]_[block]_Urbanization,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,No style file 
Terrain,vector,terrain_vector,terrain_vector,Terrain Vector,terrain,[district]_[block]_cluster,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/Terrain-Vector-Layer-Style.qml
Cropping intensity,vector,cropping_intensity_vector,cropping_intensity,Cropping Intensity,cropping_intensity,[district]_[block]_intensity,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Agriculture/Cropping_intensity.qml
"Stage of Groundwater extraction
",vector,stage_of_groundwater_extraction_vector,soge,SOGE,soge,soge_vector_[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/SOGE_style.qml
Drought frequency,vector,drought_frequency_vector,drought_frequency,Drought,cropping_drought,[district]_[block]_drought,https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Agriculture/Drought_style.qml
Change in well depth,vector,change_in_well_depth_vector,deltaG_well_depth_annual,Hydrology,mws_layers,deltaG_well_depth_[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Climate/MWS-Well-Depth-18_23.qml
Terrain,raster,terrain_raster,terrain_raster,Terrain Raster,terrain,[district]_[block]_terrain_raster,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/terrain_1-12class.qml
CLART,raster,clart_raster,clart,CLART,clart,[district]_[block]_clart,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/CLART-Layer-Style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,tree_health_ccd,,ccd,tree_health_ccd_raster_[district]_[block]_2022,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/ccd_style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,tree_health_ccd,,ccd,tree_health_ccd_raster_[district]_[block]_2021,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/ccd_style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,tree_health_ccd,,ccd,tree_health_ccd_raster_[district]_[block]_2020,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/ccd_style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,tree_health_ccd,,ccd,tree_health_ccd_raster_[district]_[block]_2019,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/ccd_style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,tree_health_ccd,,ccd,tree_health_ccd_raster_[district]_[block]_2018,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/ccd_style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,tree_health_ccd,,ccd,tree_health_ccd_raster_[district]_[block]_2017,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/ccd_style.qml
"Tree cover change
",raster,tree_cover_change_vector,tree_health_overall,Tree Overall Change Vector,tree_overall_ch,tree_health_overall_change_raster_[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/tree_cover_change.qml
"Tree canopy height
",raster,tree_canopy_height_raster,tree_health_ch,,canopy_height,tree_health_ch_raster_[district]_[block]_2017,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/tree_cover_change.qml
"Tree canopy height
",raster,tree_canopy_height_raster,tree_health_ch,,canopy_height,tree_health_ch_raster_[district]_[block]_2018,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/tree_cover_change.qml
"Tree canopy height
",raster,tree_canopy_height_raster,tree_health_ch,,canopy_height,tree_health_ch_raster_[district]_[block]_2019,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/tree_cover_change.qml
"Tree canopy height
",raster,tree_canopy_height_raster,tree_health_ch,,canopy_height,tree_health_ch_raster_[district]_[block]_2020,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/tree_cover_change.qml
"Tree canopy height
",raster,tree_canopy_height_raster,tree_health_ch,,canopy_height,tree_health_ch_raster_[district]_[block]_2021,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree Health/tree_cover_change.qml
,raster,,restoration,Restoration Raster,restoration,restoration_[district]_[block]_raster,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Restoration_style.qml
