,layer_name,column_name,column_name_normalized,column_data_type,column_name_description,comments
93,swb3,area_18-19,area_18-19,,area of surface water (in hectares) in 2018-2019,
94,swb3,basin_name,basin_name,,basin name,
95,swb3,sub_basin_name,sub_basin_name,,sub basin name ,
96,swb3,area_19-20,area_19-20,,area of surface water (in hectares) in 2019-2020,
97,swb3,k_18-19,k_18-19,,percentage of water availability in kharif season of agriculture year 2018-2019,
98,swb3,ref_water_body_type_id_name,ref_water_body_type_id_name,,"type of water body: Pond, lake, etc",
99,swb3,nature_of_storage,nature_of_storage,,nature of storage,
100,swb3,longitude_dec,longitude_dec,,longitude of the water body (decimal degrees),
101,swb3,water_body_name,water_body_name,,water body name,
102,swb3,unique_id,unique_id,,unique id,
103,swb3,kr_19-20,kr_19-20,,percentage of water availability in kharif and rabi season of agriculture year 2019-2020,
104,swb3,renovation_year,renovation_year,,year of renovation ,
105,swb3,MWS_UID,mws_uid,,micro water shed unique identifier,
106,swb3,storage_capacity_water_body_present,storage_capacity_water_body_present,,current storage capacity of water body,
107,swb3,no_villages_benefited,no_villages_benefited,,number of villages benefited from water body,
108,swb3,ref_selection_id_wua_exists_name,ref_selection_id_wua_exists_name,,"existence of a water user association: Yes, No, Not Known",
109,swb3,water_body_loc_name,water_body_loc_name,,water body location name ,
110,swb3,scheme_status_reason_name,scheme_status_reason_name,,"status of water body: Salinity, Impact of industrial effluents, Dried up etc.",
111,swb3,water,water,,flags whether water exist or not ,
112,swb3,kr_21-22,kr_21-22,,percentage of water availability in kharif and rabi season of agriculture year 2021-2022,
113,swb3,rural_or_urban,rural_or_urban,,waterbody located in rural or urban,
114,swb3,area_20-21,area_20-21,,area of surface water (in hectares) in 2020-2021,
115,swb3,krz_22-23,krz_22-23,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2022-2023",
116,swb3,ref_water_body_in_use_id_name,ref_water_body_in_use_id_name,,"current use status: true, false",
117,swb3,ref_selection_id_dip_sip_exists_name,ref_selection_id_dip_sip_exists_name,,,
118,swb3,UID,uid,,unique identifier,
119,swb3,storage_capacity_water_body_original,storage_capacity_water_body_original,,original designed storage capacity of waterbody,
120,swb3,Block/Tehsil Name,block/tehsil name,,tehsil/block  name ,
121,swb3,area_17-18,area_17-18,,area of surface water (in hectares) in 2017-2018,
122,swb3,k_22-23,k_22-23,,percentage of water availability in kharif season of agriculture year 2022-2023,
123,swb3,krz_19-20,krz_19-20,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2019-2020",
124,swb3,Village Name,village name,,village name ,
125,swb3,ref_water_body_under_repair_renovation_restoration_id_name,ref_water_body_under_repair_renovation_restoration_id_name,,,
126,swb3,filled_up_storage_name,filled_up_storage_name,,"whether the storage is filled up: Full, Upto 3/4, Upto 1/4, Upto 1/2",
127,swb3,District Name,district name,,district name,
128,swb3,kr_18-19,kr_18-19,,percentage of water availability in kharif and rabi season of agriculture year 2018-2019,
129,swb3,latitude_dec,latitude_dec,,latitude of the water body (decimal degrees),
130,swb3,construcion_year,construcion_year,,year of construction ,
131,swb3,max_depth_water_body_fully_filled,max_depth_water_body_fully_filled,,maximum depth of water body when fully filled,
132,swb3,water_body_ownership_name,water_body_ownership_name,,"ownership category: Panchayat, Other govt.agency, etc.",
133,swb3,kr_20-21,kr_20-21,,percentage of water availability in kharif and rabi season of agriculture year 2020-2021,
134,swb3,State Name,state name,,state name,
135,swb3,khasra_number,khasra_number,,khasra number,
136,swb3,krz_18-19,krz_18-19,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2018-2019",
137,swb3,area_23-24,area_23-24,,area of surface water (in hectares) in 2023-2024,
138,swb3,water_spread_area_of_water_body,water_spread_area_of_water_body,,area of water spread (in hectares),
139,swb3,area_ored,area_ored,,surveyed water body area ,
140,swb3,krz_21-22,krz_21-22,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2021-2022",
141,swb3,number_of_wua_formed,number_of_wua_formed,,number of water user associations formed,
142,swb3,ref_selection_id_water_body_encroached_name,ref_selection_id_water_body_encroached_name,,,
143,swb3,ward_name,ward_name,,ward name ,
144,swb3,k_23-24,k_23-24,,percentage of water availability in kharif season of agriculture year 2023-2024,
145,swb3,water_body_nature_name,water_body_nature_name,,"nature of water body: Natural, Man-made",
146,swb3,no_people_benefited_by_water_body,no_people_benefited_by_water_body,,number of people benefitted from water body,
147,swb3,kr_17-18,kr_17-18,,percentage of water availability in kharif and rabi season of agriculture year 2017-2018,
148,swb3,manmade_water_body_type_name,manmade_water_body_type_name,,man made water body type name,
149,swb3,category_sq_m,category_sq_m,,"size category in sq_m: 5000+, 1000-5000, 500-1000, 0-500",
150,swb3,krz_17-18,krz_17-18,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2017-2018",
151,swb3,reason_water_body_in_use_name2,reason_water_body_in_use_name2,,"secondary reason for use: Recreation, Religious, Pisciculture, Ground water recharge, Other",
152,swb3,area_22-23,area_22-23,,area of surface water (in hectares) in 2022-2023,
153,swb3,construction_cost,construction_cost,,construction cost,
154,swb3,any,any,,,
155,swb3,kr_23-24,kr_23-24,,percentage of water availability in kharif and rabi season of agriculture year 2023-2024,
156,swb3,krz_20-21,krz_20-21,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2020-2021",
157,swb3,ref_reason_water_body_in_use_id1_name,ref_reason_water_body_in_use_id1_name,,"primary reason for use: Recreation, Religious, Pisciculture, Ground water recharge, Other",
158,swb3,scheme_under_revival_is_done,scheme_under_revival_is_done,,,
159,swb3,k_20-21,k_20-21,,percentage of water availability in kharif season of agriculture year 2020-2021,
160,swb3,k_17-18,k_17-18,,percentage of water availability in kharif season of agriculture year 2017-2018,
161,swb3,reason_water_body_in_use_name3,reason_water_body_in_use_name3,,"third reason for use: Other, Ground water recharge, Irrigation, Pisciculture, Recreation, Religious, Industrial",
162,swb3,town_municipalty_name,town_municipalty_name,,town municipality name ,
163,swb3,system:index,system:index,,,
164,swb2,MWS_UID,MWS_UID,,micro water shed unique identifier,
165,swb2,UID,UID,,unique identifier,
166,swb2,any,any,,,
167,swb2,area_17-18,area_17-18,,area of surface water (in hectares) in 2017-2018,
168,swb2,area_18-19,area_18-19,,area of surface water (in hectares) in 2018-2019,
169,swb2,area_19-20,area_19-20,,area of surface water (in hectares) in 2019-2020,
170,swb2,area_20-21,area_20-21,,area of surface water (in hectares) in 2020-2021,
171,swb2,area_21-22,area_21-22,,area of surface water (in hectares) in 2021-2022,
172,swb2,area_22-23,area_22-23,,area of surface water (in hectares) in 2022-2023,
173,swb2,area_23-24,area_23-24,,area of surface water (in hectares) in 2023-2024,
174,swb2,area_ored,area_ored,,surveyed water body area ,
175,swb2,category_sq_m,category_sq_m,,"size category in sq_m: 5000+, 1000-5000, 500-1000, 0-500",
176,swb2,k_17-18,k_17-18,,percentage of water availability in kharif season of agriculture year 2017-2018,
177,swb2,k_18-19,k_18-19,,percentage of water availability in kharif season of agriculture year 2018-2019,
178,swb2,k_19-20,k_19-20,,percentage of water availability in kharif season of agriculture year 2019-2020,
179,swb2,k_20-21,k_20-21,,percentage of water availability in kharif season of agriculture year 2020-2021,
180,swb2,k_21-22,k_21-22,,percentage of water availability in kharif season of agriculture year 2021-2022,
181,swb2,k_22-23,k_22-23,,percentage of water availability in kharif season of agriculture year 2022-2023,
182,swb2,k_23-24,k_23-24,,percentage of water availability in kharif season of agriculture year 2023-2024,
183,swb2,kr_17-18,kr_17-18,,percentage of water availability in kharif and rabi season of agriculture year 2017-2018,
184,swb2,kr_18-19,kr_18-19,,percentage of water availability in kharif and rabi season of agriculture year 2018-2019,
185,swb2,kr_19-20,kr_19-20,,percentage of water availability in kharif and rabi season of agriculture year 2019-2020,
186,swb2,kr_20-21,kr_20-21,,percentage of water availability in kharif and rabi season of agriculture year 2020-2021,
187,swb2,kr_21-22,kr_21-22,,percentage of water availability in kharif and rabi season of agriculture year 2021-2022,
188,swb2,kr_22-23,kr_22-23,,percentage of water availability in kharif and rabi season of agriculture year 2022-2023,
189,swb2,kr_23-24,kr_23-24,,percentage of water availability in kharif and rabi season of agriculture year 2023-2024,
190,swb2,krz_17-18,krz_17-18,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2017-2018",
191,swb2,krz_18-19,krz_18-19,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2018-2019",
192,swb2,krz_19-20,krz_19-20,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2019-2020",
193,swb2,krz_20-21,krz_20-21,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2020-2021",
194,swb2,krz_21-22,krz_21-22,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2021-2022",
195,swb2,krz_22-23,krz_22-23,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2022-2023",
196,swb2,krz_23-24,krz_23-24,,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2023-2024",
197,swb2,water,water,,flags whether water exist or not ,
198,change_vector_Afforestation,uid,uid,,unique identifier,
199,change_vector_Afforestation,area_in_ha,area_in_ha,,area in hectares identified as Tree Cover Gain,
200,change_vector_Afforestation,fa_fo,fa_fo,,Crops to Trees,
201,change_vector_Afforestation,total_aff,total_aff,,total tree cover gain,
202,change_vector_Afforestation,sc_fo,sc_fo,,Shrubs and Scrubs to Trees ,
203,change_vector_Afforestation,ba_fo,ba_fo,,Barren land to Trees,
204,change_vector_Afforestation,id,id,,id,
205,change_vector_Afforestation,bu_fo,bu_fo,,Built Up to Trees,
206,change_vector_Afforestation,fo_fo,fo_fo,,Trees to Trees,
207,change_vector_Afforestation,system:index,system:index,,,
208,change_vector_CropIntensity,tr_si,tr_si,,Tripple/annual/perennial Cropping to Single Cropping,
209,change_vector_CropIntensity,si_do,si_do,,Single Cropping to Double Cropping ,
210,change_vector_CropIntensity,uid,uid,,unique identifier,
211,change_vector_CropIntensity,si_tr,si_tr,,Single Cropping to Tripple/annual/perennial Cropping ,
212,change_vector_CropIntensity,same,same,,classification remains same during analysis,
213,change_vector_CropIntensity,area_in_ha,area_in_ha,,area in hectares identified for analysis,
214,change_vector_CropIntensity,do_tr,do_tr,,Double Cropping to Tripple/annual/perennial Cropping ,
215,change_vector_CropIntensity,total_change,total_change,,total change in cropping intensity,
216,change_vector_CropIntensity,tr_do,tr_do,,Tripple/annual/perennial Cropping to Double Cropping,
217,change_vector_CropIntensity,id,id,,id,
218,change_vector_CropIntensity,system:index,system:index,,,
219,change_vector_CropIntensity,do_si,do_si,,Double Cropping to Single Cropping,
220,change_vector_Deforestation,fo_fa,fo_fa,,Trees to Crops,
221,change_vector_Deforestation,uid,uid,,unique identifier,
222,change_vector_Deforestation,fo_ba,fo_ba,,Trees to Barren ,
223,change_vector_Deforestation,total_def,total_def,,total tree cover loss,
224,change_vector_Deforestation,area_in_ha,area_in_ha,,area in hectares identified as tree cover loss,
225,change_vector_Deforestation,fo_sc,fo_sc,,Trees to Shrubs and Scrubs,
226,change_vector_Deforestation,fo_bu,fo_bu,,Trees to Built Up,
227,change_vector_Deforestation,id,id,,id,
228,change_vector_Deforestation,fo_fo,fo_fo,,Trees to Trees,
229,change_vector_Deforestation,system:index,system:index,,,
230,change_vector_Degradation,uid,uid,,unique identifier,
231,change_vector_Degradation,f_bu,f_bu,,Crops to Built Up,
232,change_vector_Degradation,f_sc,f_sc,,Crops to Shrubs and Scrubs,
233,change_vector_Degradation,area_in_ha,area_in_ha,,area in hectares which is idenitified as Cropping reduction,
234,change_vector_Degradation,total_deg,total_deg,,total cropping reduction,
235,change_vector_Degradation,f_ba,f_ba,,Crops to Barren,
236,change_vector_Degradation,id,id,,id,
237,change_vector_Degradation,f_f,f_f,,Crops to Crops,
238,change_vector_Degradation,system:index,system:index,,,
239,change_vector_Urbanization,uid,uid,,unique identifier,
240,change_vector_Urbanization,tr_bu,tr_bu,,Trees/Crops to Built Up,
241,change_vector_Urbanization,bu_bu,bu_bu,,Built Up to Built Up,
242,change_vector_Urbanization,total_urb,total_urb,,total urbanization (hectares),
243,change_vector_Urbanization,area_in_ha,area_in_ha,,area in hectares identifed as urbanized,
244,change_vector_Urbanization,id,id,,id,
245,change_vector_Urbanization,w_bu,w_bu,,Water to Built Up,
246,change_vector_Urbanization,b_bu,b_bu,,Barren/Shrubs and Scrubs to Built Up,
247,change_vector_Urbanization,system:index,system:index,,,
248,cropping_intensity_2017-23,single_cropped_area_2018,single_cropped_area_2018,,single cropped area for 2018,
249,cropping_intensity_2017-23,total_cropable_area_ever_hydroyear_2017_2023,total_cropable_area_ever_hydroyear_2017_2023,,total area identified suitable for cropping at least once during the specified period (hydroyears 2017 to 2023),
250,cropping_intensity_2017-23,single_cropped_area_2019,single_cropped_area_2019,,single cropped area for 2019,
251,cropping_intensity_2017-23,single_kharif_cropped_area_2019,single_kharif_cropped_area_2019,,single kharif cropped area for 2019 ,
252,cropping_intensity_2017-23,single_kharif_cropped_area_2018,single_kharif_cropped_area_2018,,single kharif cropped area for 2018,
253,cropping_intensity_2017-23,single_kharif_cropped_area_2017,single_kharif_cropped_area_2017,,single kharif cropped area for 2017,
254,cropping_intensity_2017-23,sum,sum,,total cropped area in hectares,
255,cropping_intensity_2017-23,triply_cropped_area_2022,triply_cropped_area_2022,,tripple cropped crea for 2022,
256,cropping_intensity_2017-23,doubly_cropped_area_2018,doubly_cropped_area_2018,,double cropped area for 2018,
257,cropping_intensity_2017-23,triply_cropped_area_2021,triply_cropped_area_2021,,tripple/annual/perennial cropping area for 2021,
258,cropping_intensity_2017-23,doubly_cropped_area_2017,doubly_cropped_area_2017,,double cropped area for 2017,
259,cropping_intensity_2017-23,uid,uid,,unique identifier,
260,cropping_intensity_2017-23,triply_cropped_area_2020,triply_cropped_area_2020,,tripple cropped crea for 2020,
261,cropping_intensity_2017-23,single_non_kharif_cropped_area_2020,single_non_kharif_cropped_area_2020,,single non kharif cropped area for 2020,
262,cropping_intensity_2017-23,doubly_cropped_area_2019,doubly_cropped_area_2019,,double cropped area for 2019,
263,cropping_intensity_2017-23,cropping_intensity_2019,cropping_intensity_2019,,cropping intensity for 2019,
264,cropping_intensity_2017-23,single_non_kharif_cropped_area_2022,single_non_kharif_cropped_area_2022,,single non kharif cropped area for 2022,
265,cropping_intensity_2017-23,cropping_intensity_2018,cropping_intensity_2018,,cropping intensity for 2018,
266,cropping_intensity_2017-23,single_non_kharif_cropped_area_2021,single_non_kharif_cropped_area_2021,,single non kharif cropped area for 2021,
267,cropping_intensity_2017-23,cropping_intensity_2017,cropping_intensity_2017,,cropping intensity for 2017,
268,cropping_intensity_2017-23,area_in_ha,area_in_ha,,area in hectares idenfied for analysis,
269,cropping_intensity_2017-23,single_cropped_area_2020,single_cropped_area_2020,,single cropped area for 2020,
270,cropping_intensity_2017-23,triply_cropped_area_2023,triply_cropped_area_2023,,tripple cropped crea for 2023,
271,cropping_intensity_2017-23,single_non_kharif_cropped_area_2023,single_non_kharif_cropped_area_2023,,single non kharif cropped area for 2023,
272,cropping_intensity_2017-23,single_cropped_area_2021,single_cropped_area_2021,,single cropped area for 2021,
273,cropping_intensity_2017-23,single_cropped_area_2022,single_cropped_area_2022,,single cropped area for 2022,
274,cropping_intensity_2017-23,single_cropped_area_2023,single_cropped_area_2023,,single cropped area for 2023,
275,cropping_intensity_2017-23,id,id,,id,
276,cropping_intensity_2017-23,single_kharif_cropped_area_2023,single_kharif_cropped_area_2023,,single kharif cropped area for 2023,
277,cropping_intensity_2017-23,single_kharif_cropped_area_2022,single_kharif_cropped_area_2022,,single kharif cropped area for 2022,
278,cropping_intensity_2017-23,single_kharif_cropped_area_2021,single_kharif_cropped_area_2021,,single kharif cropped area for 2021,
279,cropping_intensity_2017-23,single_kharif_cropped_area_2020,single_kharif_cropped_area_2020,,single kharif cropped area for 2020,
280,cropping_intensity_2017-23,cropping_intensity_2023,cropping_intensity_2023,,cropping intensity for 2023,
281,cropping_intensity_2017-23,triply_cropped_area_2019,triply_cropped_area_2019,,tripple cropped crea for 2019,
282,cropping_intensity_2017-23,doubly_cropped_area_2021,doubly_cropped_area_2021,,double cropped area for 2021,
283,cropping_intensity_2017-23,triply_cropped_area_2018,triply_cropped_area_2018,,tripple cropped crea for 2018,
284,cropping_intensity_2017-23,doubly_cropped_area_2020,doubly_cropped_area_2020,,double cropped area for 2020,
285,cropping_intensity_2017-23,triply_cropped_area_2017,triply_cropped_area_2017,,tripple cropped crea for 2017,
286,cropping_intensity_2017-23,doubly_cropped_area_2023,doubly_cropped_area_2023,,double cropped area for 2023,
287,cropping_intensity_2017-23,single_non_kharif_cropped_area_2017,single_non_kharif_cropped_area_2017,,single non kharif cropped area for 2017,
288,cropping_intensity_2017-23,doubly_cropped_area_2022,doubly_cropped_area_2022,,double cropped area for 2022,
289,cropping_intensity_2017-23,cropping_intensity_2022,cropping_intensity_2022,,cropping intensity for 2022,
290,cropping_intensity_2017-23,single_non_kharif_cropped_area_2019,single_non_kharif_cropped_area_2019,,single non kharif cropped area for 2019,
291,cropping_intensity_2017-23,cropping_intensity_2021,cropping_intensity_2021,,cropping intensity for 2021,
292,cropping_intensity_2017-23,single_non_kharif_cropped_area_2018,single_non_kharif_cropped_area_2018,,single non kharif cropped area for 2018,
293,cropping_intensity_2017-23,cropping_intensity_2020,cropping_intensity_2020,,cropping intensity for 2020,
294,cropping_intensity_2017-23,system:index,system:index,,,
295,cropping_intensity_2017-23,single_cropped_area_2017,single_cropped_area_2017,,single cropped area for 2017,
296,drought_2017_2022,rd21-6-26,rd21-6-26,,rainfall deviation ,
297,drought_2017_2022,rd20-9-4,rd20-9-4,,rainfall deviation ,
298,drought_2017_2022,rd17-6-4,rd17-6-4,,rainfall deviation ,
299,drought_2017_2022,rd18-6-20,rd18-6-20,,rainfall deviation ,
300,drought_2017_2022,rd21-7-3,rd21-7-3,,rainfall deviation ,
301,drought_2017_2022,rd20-9-11,rd20-9-11,,rainfall deviation ,
302,drought_2017_2022,rd18-6-27,rd18-6-27,,rainfall deviation ,
303,drought_2017_2022,rd17-10-29,rd17-10-29,,rainfall deviation ,
304,drought_2017_2022,frth3_2019,frth3_2019,,frequency of drought for 2019 at threshold 3,
305,drought_2017_2022,frth3_2017,frth3_2017,,frequency of drought for 2017 at threshold 3,
306,drought_2017_2022,rd19-9-18,rd19-9-18,,rainfall deviation ,
307,drought_2017_2022,frth3_2018,frth3_2018,,frequency of drought for 2018 at threshold 3,
308,drought_2017_2022,kh_cr_2020,kh_cr_2020,,kharif cropped sqkm for 2020,
309,drought_2017_2022,kh_cr_2021,kh_cr_2021,,kharif cropped sqkm for 2021,
310,drought_2017_2022,rd20-9-18,rd20-9-18,,rainfall deviation ,
311,drought_2017_2022,kh_cr_2022,kh_cr_2022,,kharif cropped sqkm for 2022,
312,drought_2017_2022,rd19-9-11,rd19-9-11,,rainfall deviation ,
313,drought_2017_2022,rd22-9-25,rd22-9-25,,rainfall deviation ,
314,drought_2017_2022,rd17-8-27,rd17-8-27,,rainfall deviation ,
315,drought_2017_2022,kh_cr_2017,kh_cr_2017,,kharif cropped sqkm for 2017,
316,drought_2017_2022,rd20-10-2,rd20-10-2,,rainfall deviation ,
317,drought_2017_2022,kh_cr_2018,kh_cr_2018,,kharif cropped sqkm for 2018,
318,drought_2017_2022,rd19-9-4,rd19-9-4,,rainfall deviation ,
319,drought_2017_2022,kh_cr_2019,kh_cr_2019,,kharif cropped sqkm for 2019,
320,drought_2017_2022,rd17-8-20,rd17-8-20,,rainfall deviation ,
321,drought_2017_2022,rd20-10-9,rd20-10-9,,rainfall deviation ,
322,drought_2017_2022,rd18-6-13,rd18-6-13,,rainfall deviation ,
323,drought_2017_2022,rd19-9-25,rd19-9-25,,rainfall deviation ,
324,drought_2017_2022,rd17-10-1,rd17-10-1,,rainfall deviation ,
325,drought_2017_2022,rd17-10-8,rd17-10-8,,rainfall deviation ,
326,drought_2017_2022,rd17-7-9,rd17-7-9,,rainfall deviation ,
327,drought_2017_2022,rd19-10-2,rd19-10-2,,rainfall deviation ,
328,drought_2017_2022,rd17-8-13,rd17-8-13,,rainfall deviation ,
329,drought_2017_2022,rd21-7-10,rd21-7-10,,rainfall deviation ,
330,drought_2017_2022,frth1_2019,frth1_2019,,frequency of drought for 2019 at threshold 1,
331,drought_2017_2022,rd21-8-7,rd21-8-7,,rainfall deviation ,
332,drought_2017_2022,rd18-7-11,rd18-7-11,,rainfall deviation ,
333,drought_2017_2022,rd17-7-2,rd17-7-2,,rainfall deviation ,
334,drought_2017_2022,rd19-10-9,rd19-10-9,,rainfall deviation ,
335,drought_2017_2022,t_wks_2017,t_wks_2017,,total weeks analysed in 2017,
336,drought_2017_2022,frth1_2017,frth1_2017,,frequency of drought for 2017 at threshold 1,
337,drought_2017_2022,rd22-10-9,rd22-10-9,,rainfall deviation ,
338,drought_2017_2022,rd21-7-17,rd21-7-17,,rainfall deviation ,
339,drought_2017_2022,frth1_2018,frth1_2018,,frequency of drought for 2018 at threshold 1,
340,drought_2017_2022,inth3_2020,inth3_2020,,intensity of drought 2020 at threshold 3,
341,drought_2017_2022,uid,uid,,unique identifier,
342,drought_2017_2022,inth3_2021,inth3_2021,,intensity of drought 2021 at threshold 3,
343,drought_2017_2022,rd20-8-21,rd20-8-21,,rainfall deviation ,
344,drought_2017_2022,rd18-7-18,rd18-7-18,,rainfall deviation ,
345,drought_2017_2022,t_wks_2018,t_wks_2018,,total weeks analysed in 2018,
