layer_name,layer_description
lulc_raster,"Land Use Land Cover (LULC) map for India built by ACT4D research group at IIT Delhi. Novelty of this approach is intra-annual classes for agriculture and water availability aligned to the agriculture seasons of India.

The Pan India map is available from 2017 onwards at 10m resolution.
These are the classes in the current version of LULC:
1. builtup
2. water in kharif only
3. water in kharif and rabi only
4. water in kharif, rabi and zaid (perennial water)
5. cropland
6. trees and forest
7. barren land
8. single kharif cropping
9. single non-kharif cropping
10. double cropping
11. tripple cropping
12. shrubs and scrubs

Input to the model is Dynamic World output, and timeseries data from Landsat-7, Landsat-8, Sentinel-2, Sentinel-1 and MODIS. Details of methodology can be found in our [technical manual](https://drive.google.com/file/d/1ZxovdpPThkN09cB1TcUYSE2BImI7M3k_/view) and the codebase on [github](https://github.com/ICTD-IITD/IndiaSAT_LULC_Deliverables)
"
terrain_raster,"Terrain classification map at 30m resolution for India built by ACT4D research group at IIT Delhi. The map is based on Topographic Position Index (TPI) and slope. The algorithm is based on a landform classification method by The Nature Conservency (https://www.jennessent.com/downloads/TPI-poster-TNC_18x22.pdf), with fine tuning of the thresholds done for Indian landscapes.

The following classes are available in the current version of the map:
1. V-shape river valleys, Deep narrow canyons
2. Lateral midslope incised drainages, Local valleys in plains
3. Upland incised drainages, Stream headwaters
4. U-shape valleys
5. Broad flat areas
6. Broad open slopes
7. Mesa tops
8. Upper Slopes
9. Local ridge/hilltops within broad valleys
10. Lateral midslope drainage divides, Local ridges in plains
11. Mountain tops, high ridges

Input to the model is digital elevation data (SRTM Digital Elevation 30m). Details of methodology can be found in our technical manual and the codebase on github
"
